:4771,5734,6024,6462,6064,2974,6765,6572,3223,3396,6248,837,5021,5709,5820,6037,1955,4160,2767,4197,2277,5674,2954,2931,1874,3034,90,3051,3224,1842,5091,278,2809,4243,3209,7142,1864,4719,3388,2810,228,451,4797,6686,4547,4264,2104,69,5786,6335,2010,1120,5,1444,618,3072,2400,3834,3944,3295,718,4874,2426,4551,2690,6148,3043,1949,6875,4502,1634,5160,4599,1254,193,6158,6093,1725,6286,2371,106,2243,773,6218,240,6113,6989,2912,1817,3194,2329,2315,6703,6912,89,412,6069,4544,5682,820,6645,3055,6979,2339,1139,2610,4729,2519,1810,3958,3053,4988,3456,2934,2572,6878,2853,4023,4309,3094,6167,5135,1800,1655,2050,2614,101,4053,5681,7147,2526,3283,4564,3670,4696,4489,6109,7247,5507,3385,3521,6369,719,1722,3318,5953,778,366,6010,6530,6892,1142,3242,232,1669,4538,3738,1706,4885,2484,6683,4180,6466,1068,3234,2563,1836,6925,6723,6706,5008,2173,3717,3713,3735,1443,2983,2959,6596,1570,478,2609,855,6964,6844,744,3040,6015,4494,2576,3910,5401,395,4447,4206,1561,351,2824,186,5613
1:3888,776,4275,3360,1509,2059,1981,2334,2062,517,3745,1606,6214,6100,7083,174,5323,1341,747,3781,4967,5477,5364,6444,5486,381,5569,2855,5644,2745,5981,5870,5884,3064,5514,4265,5829,2727,4894,5740,6527,999,5028,1756,4025,6594,6258,5381,4288,2800,450,2840,4745,2507,1019,5346,6331,6475,1195,1294,1617,3726,3278,3997,3344,1124,4663,1560,5430,388,270,792,156,564,5645,1215,1961,4681,5077,2567,2731,3849,319,2430,4357,5018,2935,4176,610,3893,4115,4266,1051,2448,3268,1302,6604,7161,2716,674,2240,997,1996,1422,1762,4145,5698,3060,3926,702,4809,2392,5121,128,3085,4622,4978,1,2701,903,3643,6922,4936,4493,1473,6795,1275,3996,1578,5966,5384,3563,4467,5943,2769,4147,483,3167,6516,5036,3644,5179,6749,5767,4984,2189,508,1033,6161,474,6378,5817,6583,4640,1374,5217,5210,2444,1471,1713,3316,6094,1907,7109,5467,5640,4191,417,155,6275,5879,1924,6124,5917,2119,1689,3960,5056,6102,2812,2190,151,919,5665,5547,4064,5739,5203,3353,4501,3972,51,3620,1567,3517,5196,5349,1512,6204,6515
2:0,219,5790,3514,1504,3440,2276,5294,2029,806,1115,1949,2823,928,7142,4018,69,4632,4719,1231,5955,3895,2400,5301,2810,6797,2277,2114,66,149,3053,6075,1644,6803,1482,115,734,5117,111,6360,1810,4177,2353,3236,710,3414,5160,2663,4728,4560,3908,1754,2303,5789,648,5803,940,348,3215,5449,6875,2315,829,6615,4233,1608,916,2533,2959,193,5471,1916,4900,820,1032,598,4604,4549,1806,5418,4904,1849,7153,4041,6053,4821,2851,5,6978,2088,3055,819,5228,6611,5034,7036,3576,1345,1568,3094,6661,4193,3446,6703,3499,3194,6889,2614,4138,1639,5744,5682,204,5977,2835,2242,3199,1094,6935,3096,4732,1691,2506,2426,6857,1242,3928,6725,3821,696,6433,2255,718,366,3848,5524,1985,5021,6064,4406,6617,1914,4148,4637,3579,3884,4514,838,7011,1852,332,3670,3311,4583,594,983,3728,3214,6083,6701,1910,7150,6912,1429,6015,4776,3991,2616,1312,3567,1089,1932,4069,4202,6682,304,3982,1570,5709,6173,4302,2104,5877,644,3523,1078,1595,3443,6510,1144,1139,1053,2572,1219,3538,4934,6613,5493,1652,1854
3:6826,4959,386,2877,827,4816,2993,4097,1846,3289,1598,6587,6773,357,3941,6814,5420,6131,2384,1794,201,6051,4361,938,3028,1847,1741,195,161,6319,2247,4402,4310,4533,1241,7108,1122,5474,2713,6125,4122,3703,3914,4458,724,1291,4955,669,5374,3740,2776,2039,6811,5185,3978,5735,44,4262,6700,4666,5830,6414,3243,1478,5555,6953,4709,1808,753,715,1763,1268,856,6828,217,3557,2819,5053,2292,6911,4065,1133,4837,4419,2361,6880,5996,2890,536,3510,3751,6960,4799,377,1178,3830,510,3982,3558,3634,7019,1680,4733,7029,532,5627,6968,518,7084,6343,2966,6743,5246,287,2755,6441,3335,5827,3654,2156,1671,4757,6050,1943,4587,404,3076,1118,4953,3426,1764,6742,3889,7273,6783,2025,5167,6837,4647,5417,3686,2302,70,1974,4171,1813,6042,4120,5881,2201,6459,2654,4529,952,36,520,2584,1668,7223,5122,6898,4000,2376,5960,7268,4938,1766,1789,4162,5063,2970,6507,2589,1595,6035,3630,4859,2417,977,3901,2075,6228,4588,6033,1303,2951,3560,4319,4939,4981,5348,3608,175,3501,1995,3352,737,5801,1704,6538
4:6809,5051,1684,4092,2179,1795,2782,3449,379,2283,1073,6448,2484,1784,252,5026,5820,6964,3409,5531,6268,5802,6109,5332,6574,5078,1886,5674,4170,1172,1120,4644,1151,1722,2767,2311,289,1844,2974,5613,6580,4624,5606,186,5119,3359,5351,591,7272,4230,5556,5709,4551,4730,4365,5628,6765,5468,6955,4489,923,4597,3252,3653,1349,5234,3302,5632,2638,6536,4897,4477,1363,1910,3935,6816,4721,5681,7032,488,5797,4692,6760,193,5710,1765,5795,263,4046,6491,5215,2187,2063,3103,5581,4662,61,4904,6481,4380,6952,3397,6510,7185,6417,4110,37,1053,930,2198,4180,1703,6711,5195,2719,4581,7102,4158,3105,6896,3613,4674,6596,1685,6770,6292,2137,986,1266,6758,5706,4452,3376,808,2721,5546,3681,6635,2522,3212,5646,1966,1247,1200,502,6344,2931,332,6120,323,2400,4485,6054,6974,916,2912,336,1068,2,2715,4787,7293,6889,4979,1313,6476,4547,2991,2576,102,3156,1658,6024,4420,3228,2929,2402,5948,158,820,1297,2085,1612,2809,5064,479,535,5015,3286,3711,6285,2403,2315,6019,4478,4446,2872,2959,1695,4701
5:3589,1855,7294,6375,5648,1912,2043,6910,2732,6681,5831,668,4948,5761,2146,1381,1621,935,43,5060,3565,2676,6320,1225,3170,1186,3638,5035,5405,3049,2531,5970,2091,3018,960,1207,6403,1310,1531,3611,7245,6219,4722,3666,6913,7027,659,4911,7071,6352,4037,3710,7116,4584,2180,3587,2269,5001,218,1597,2671,29,6936,5825,6893,1389,1417,53,5112,5669,6897,2656,2900,4990,5253,1714,3337,4668,1212,896,1187,3398,5438,130,7055,238,5591,6956,2901,487,1885,1944,604,2737,6537,2695,5542,6822,2272,203,5142,3372,3200,6405,2552,6963,2279,6820,6867,4706,2441,3854,876,2949,7244,7197,6245,2416,1618,2077,1900,6739,3719,4483,2046,636,4941,2244,1160,6232,2354,6312,3327,2007,6186,4943,7219,2871,6323,5062,6638,1149,3492,1436,6443,3182,3618,3213,3493,2161,6447,5812,4077,3329,96,6322,4228,4033,6980,2919,6039,361,3451,3839,4351,4833,3936,1956,4942,4131,3044,6636,371,2486,1314,1112,941,384,3348,3758,4118,407,6716,2639,279,5772,3469,3291,548,6364,4270,317,7188,2134,2896,2438,712,6487,1600,3222
6:545,4576,6560,1834,3077,244,521,5938,2805,4935,1148,6711,1844,6664,5673,4248,3966,5447,611,1224,221,6799,4611,5581,5267,6574,1640,3711,5806,60,2320,4980,1442,2991,2283,2607,2586,6830,6344,4551,4094,2179,1769,2782,4595,1938,4553,1553,7191,2369,6536,2493,4624,5163,5613,4110,4786,4158,5924,4644,1423,5051,3490,5531,7160,5372,5124,1025,144,1236,1131,336,1395,5781,3791,2721,1309,6809,5849,6964,5278,1929,5234,3409,6066,6268,3693,3714,3613,3526,5078,1684,930,281,6448,3156,1077,3177,440,2798,2101,4420,73,3025,289,5820,4380,3474,478,1886,3160,6001,662,3227,6491,2719,5979,2484,3595,663,5533,6498,6292,7113,512,1028,6650,2127,3749,3068,6745,7007,4730,5706,4787,379,1840,1073,6927,5007,4092,3778,2057,6111,6705,6112,6476,6771,339,3376,5465,5014,5802,4442,3531,5664,5013,3883,5395,1029,3302,551,7272,554,2432,374,5636,5026,3425,1126,1685,1709,6353,4812,1791,6372,2929,2381,1555,275,5453,1197,6082,2403,1432,4958,2319,6635,1795,325,4897,1110,4581,2988,6816,491,3250,5795,1277,6946
7:1662,6061,1631,4695,5162,711,5469,834,1489,387,4669,6217,6046,3135,3445,5173,4313,6559,6749,2601,2078,2116,7193,3485,7230,3399,2250,2176,1467,7073,4856,2670,279,3085,4694,3698,5807,768,5304,4790,5698,2470,3667,6230,4625,4978,6362,4044,6368,3378,4606,1051,3413,2760,2855,1978,5547,2221,1924,5974,5022,5196,5759,7262,6012,4559,1150,2940,4876,4616,2812,2415,4034,5982,2509,5724,5422,1333,2189,564,1386,4861,4236,7157,4642,6932,4008,1869,1907,6746,6798,497,4570,2574,3149,5217,5917,6016,2910,2282,5739,2769,1683,3620,4791,7127,2562,2038,2017,5477,1894,4167,3316,2174,1816,7278,1727,7210,4563,5260,4232,1614,1554,4015,3181,3960,3537,415,1616,1550,5518,3060,5102,327,5082,1758,6106,651,3720,6331,522,6361,7219,2196,6604,2727,7046,2779,1762,3646,5712,5884,2763,5114,6161,503,1656,4387,3972,2864,1578,4037,6072,1944,6438,5049,4265,1374,6583,6520,883,3781,5056,5235,2896,3980,4288,6715,2240,3133,5389,5467,2540,3256,151,1015,6679,1689,2725,7279,3344,6385,2474,5665,409,3897,4392,1264,5203,5755
8:4986,1676,3130,150,1097,3742,2749,2322,1356,4009,6460,489,2729,6257,1384,5882,2214,5890,6895,3709,100,1010,6769,6085,4914,2207,3275,5229,4822,7068,4258,7066,4925,5612,2273,30,6071,2774,4335,3407,3282,1331,6953,7105,3616,2942,6168,3308,3447,5094,476,3522,2202,1085,4793,5969,1925,6931,377,2948,2471,6137,6960,272,7229,3886,2203,4627,946,242,4280,3114,2602,5488,2839,39,6949,5659,6585,2061,1593,606,4571,46,5407,5643,684,3941,5434,3201,6540,937,6972,3694,3822,4472,992,3294,3317,5063,6203,4517,1741,1234,539,4777,370,6992,1637,2700,4921,7100,3017,2281,6122,87,6742,3016,4051,4000,1346,3290,2826,5627,6118,4061,7106,4829,3645,655,724,4389,5909,3838,5181,2514,1307,2044,7281,7117,5473,799,4333,2841,4638,4254,1675,3549,1716,6414,2504,5516,1012,2216,6269,7050,3367,444,3227,5964,2822,640,5881,6498,2385,2541,4522,3970,4242,5325,7248,1218,313,3463,6828,543,5896,1143,6415,1763,2107,6031,3654,4065,4748,3405,1990,1044,5864,6999,660,3863,7223,1847,2070,1181,4709,4842,70,3169
9:6763,7175,5032,1274,1569,4427,7017,7139,1357,6966,6196,1043,3226,116,5206,5427,5672,4682,6047,258,5541,6135,865,1867,3074,6957,5075,5340,4910,5856,2206,722,7170,249,6239,3267,6754,3102,3858,6409,3983,6416,2909,200,3259,5721,807,2894,1066,6293,866,6198,376,6162,3231,4598,3629,1764,3730,3979,3493,6784,922,7271,1577,2846,3336,3400,1838,41,555,3658,314,6043,6757,6224,6485,5272,2955,4513,4190,1190,5637,4600,531,6152,6562,4341,4187,4418,6070,2418,3186,3855,3631,4227,7164,3672,847,6930,3384,3218,3961,2780,5165,2710,3369,2301,2108,5194,1211,2090,1833,6873,6961,4413,211,1775,4593,3327,53,4602,5936,6917,3788,5895,623,1514,6463,5889,4510,2140,6439,2989,1711,6082,7237,6246,1633,4946,1993,5580,1178,723,2622,107,2249,4942,3487,1613,3506,6653,5432,1843,864,424,4026,3116,5538,2666,6387,50,2976,519,4312,6907,6108,5703,3603,5007,4875,7121,7132,4305,1017,6805,2580,2200,5748,1061,4086,5233,2372,500,750,2043,373,5618,4422,436,2595,5211,6200,2473,1237,2456,896,4016,1123,3036
